FID,cnuc,nome_uc,area_ha,acao,tipo,satelite,obs,juliano,data,ano,mes_nome,mes_num,categoria,local,area_uc,area_ent,bioma,gr_nome,ngi,cr,GlobalID,Shape__Are,Shape__Len,Shape__Area,Shape__Length,ct
358613,0000.00.0076,ESEC Serra Geral do Tocantins,2234.69032822818,incendio,incendio,planet, ,187,7/15/2025 12:00:00 AM,2025,jul,07,incendio,interior,2234.69032822818,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,23279779.6879883,42943.0579112928, 
358614,0000.00.0076,ESEC Serra Geral do Tocantins,27.7402831998527,incendio,incendio,planet, ,187,7/15/2025 12:00:00 AM,2025,jul,07,incendio,interior,27.7402831998527,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,288911.658691406,2523.41330029516, 
358615,0000.00.0076,ESEC Serra Geral do Tocantins,1109.61393785259,incendio,incendio,planet, ,188,7/15/2025 12:00:00 AM,2025,jul,07,incendio,interior,1109.61393785259,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,11609803.4824219,24456.2395445471, 
358616,0000.00.0158,PARNA de Aparados da Serra,63.6782107636413,incendio,incendio,planet, ,188,7/14/2025 12:00:00 AM,2025,jul,07,incendio,interior,63.6782107636413,0,MATA ATLÂNTICA,GR 5 - SUL,Núcleo de Gestão Integrada - ICMBio Aparados da Serra, ,,,,837787.220703125,6029.09901514878, 
358617,0000.00.0272,PARNA da Chapada das Mesas,69.7499523023405,queima prescrita,manejo,planet,Queima do dia 18/06,169,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,69.7499523023405,0,CERRADO,GR 2 - NORDESTE,-, ,,,,713158.700439453,4003.37348494498,CT Fortaleza
358618,0000.00.0272,PARNA da Chapada das Mesas,174.445106458868,queima controlada,manejo,planet,Queima do dia 19/06,170,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,174.445106458868,0,CERRADO,GR 2 - NORDESTE,-, ,,,,1783549.3449707,10539.1611008897,CT Fortaleza
358619,0000.00.0076,ESEC Serra Geral do Tocantins,197.013194066409,queima controlada,manejo,planet,Queima do dia 04/07,185,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,197.013194066409,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,2053976.27783203,9282.94958142312, 
358620,0000.00.0272,PARNA da Chapada das Mesas,154.904836649712,queima prescrita,manejo,planet,Queima do dia 03/06,154,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,154.904836649712,0,CERRADO,GR 2 - NORDESTE,-, ,,,,1583521.56762695,8735.61547599704,CT Fortaleza
358621,0000.00.0272,PARNA da Chapada das Mesas,102.44051203624,queima prescrita,manejo,planet,Queima do dia 03/06,154,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,102.44051203624,0,CERRADO,GR 2 - NORDESTE,-, ,,,,1047179.10375977,6131.35786567358,CT Fortaleza
358622,0000.00.0076,ESEC Serra Geral do Tocantins,1312.11002408268,queima controlada,manejo,planet,Queima do dia 10/07,191,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,1312.11002408268,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,13692690.0634766,21727.245755316, 
358623,0000.00.0272,PARNA da Chapada das Mesas,21.5964098729088,queima prescrita,manejo,planet,Queima do dia 03/06,154,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,21.5964098729088,0,CERRADO,GR 2 - NORDESTE,-, ,,,,220749.985839844,2452.51729822595,CT Fortaleza
358624,0000.00.0272,PARNA da Chapada das Mesas,23.1078223444658,queima prescrita,manejo,planet,Queima do dia 03/06,154,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,23.1078223444658,0,CERRADO,GR 2 - NORDESTE,-, ,,,,236203.450195313,2617.99443894308,CT Fortaleza
358625,0000.00.0272,PARNA da Chapada das Mesas,29.5914772613519,queima prescrita,manejo,planet,Queima do dia 03/06,154,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,29.5914772613519,0,CERRADO,GR 2 - NORDESTE,-, ,,,,302475.86328125,3846.09160454451,CT Fortaleza
358626,0000.00.0272,PARNA da Chapada das Mesas,82.1686753892874,queima prescrita,manejo,planet,Queima do dia 18/06,169,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,82.1686753892874,0,CERRADO,GR 2 - NORDESTE,-, ,,,,840175.0078125,6613.76821892209,CT Fortaleza
358627,0000.00.0272,PARNA da Chapada das Mesas,329.783298652902,queima prescrita,manejo,planet,Queima do dia 17/06,168,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,329.783298652902,0,CERRADO,GR 2 - NORDESTE,-, ,,,,3368368.05883789,10441.7117056622,CT Fortaleza
358628,0000.00.0272,PARNA da Chapada das Mesas,94.9099897833244,queima prescrita,manejo,planet,Queima do dia 18/06,169,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,94.9099897833244,0,CERRADO,GR 2 - NORDESTE,-, ,,,,970488.304199219,5280.64067962923,CT Fortaleza
358629,0000.00.0272,PARNA da Chapada das Mesas,132.995811694347,queima prescrita,manejo,planet,Queima do dia 17/06,168,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,132.995811694347,0,CERRADO,GR 2 - NORDESTE,-, ,,,,1358675.21362305,7884.28242675283,CT Fortaleza
358630,0000.00.0168,PARNA do Araguaia,31.8658647602425,queima prescrita,manejo,planet,Queima do dia 10/07. Operação conjunta entre ICMBio e IBAMA,191,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,31.8658647602425,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,332195.045410156,3033.13496079095, 
358631,0000.00.0272,PARNA da Chapada das Mesas,1881.3820657333,queima prescrita,manejo,planet,Queima do dia 17/06,168,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,1881.3820657333,0,CERRADO,GR 2 - NORDESTE,-, ,,,,19219008.8952637,42731.1010432973,CT Fortaleza
358632,0000.00.0168,PARNA do Araguaia,656.746159345983,queima prescrita,manejo,planet,Queima do dia 13/07. Operação conjunta entre ICMBio e IBAMA,194,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,656.746159345983,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,6847277.30859375,15533.6099504717, 
358633,0000.00.0168,PARNA do Araguaia,3.68518585914071,queima prescrita,manejo,planet,Queima do dia 14/07. Operação conjunta entre ICMBio e IBAMA,195,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,3.68518585914071,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,38510.3872070313,1017.52909200876, 
358634,0000.00.0168,PARNA do Araguaia,3.43448316955634,queima prescrita,manejo,planet,Queima do dia 10/07. Operação conjunta entre ICMBio e IBAMA,191,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,3.43448316955634,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,35795.3798828125,913.539787601852, 
358635,0000.00.0168,PARNA do Araguaia,1530.98413512363,queima prescrita,manejo,planet,Queima do dia 14/07. Operação conjunta entre ICMBio e IBAMA,195,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,1530.98413512363,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,15998633.6860352,45804.1428063844, 
358636,0000.00.0168,PARNA do Araguaia,1.37716267721115,queima prescrita,manejo,planet,Queima do dia 10/07. Operação conjunta entre ICMBio e IBAMA,191,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,1.37716267721115,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,14354.0141601563,586.263169809854, 
358637,0000.00.0168,PARNA do Araguaia,1.36396746717759,queima prescrita,manejo,planet,Queima do dia 10/07. Operação conjunta entre ICMBio e IBAMA,191,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,1.36396746717759,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,14216.6215820313,580.323148172241, 
358638,0000.00.0168,PARNA do Araguaia,2.35999974145628,queima prescrita,manejo,planet,Queima do dia 10/07. Operação conjunta entre ICMBio e IBAMA,191,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,2.35999974145628,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,24598.7709960938,863.153159249269, 
358639,0000.00.0168,PARNA do Araguaia,47.9913902775407,queima prescrita,manejo,planet,Queima do dia 15/07. Operação conjunta entre ICMBio e IBAMA,196,7/16/2025 12:00:00 AM,2025,jul,07,manejo,interior,47.9913902775407,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,500652.086914063,5679.87653713033, 
