system:index,B11,B12,B2,B3,B4,B8,burned,dnbr,nbr,ndmi,ndvi,ndwi,.geo
2_99,2531.0,1547.0,384.0,591.0,824.0,1733.0,0,0.14400461,0.05001553,-0.18863001,0.15266909,-0.47686985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.72034943876143,-14.10763729521923]}"
2_100,2199.5,1190.5,308.0,601.5,555.0,2572.0,0,0.06204754,0.36771458,0.083009265,0.3527406,-0.62456906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.113178138225045,-13.933813287742105]}"
2_101,2071.0,1125.0,314.0,589.0,585.5,2381.0,0,0.26341143,0.33778438,0.05974288,0.31158188,-0.6090004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.5360151424601,-13.86509216850696]}"
2_102,2869.0,1686.0,402.0,625.0,916.0,2363.0,0,0.43666917,0.14977308,-0.12054794,0.19982079,-0.5759253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.005649798715936,-13.671056067137144]}"
2_103,2601.5,1523.5,363.5,627.5,773.5,2108.5,0,0.11008553,0.15595381,-0.09838964,0.2517774,-0.5370673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.069520015416835,-13.658120327045824]}"
2_104,3094.0,1832.0,542.0,788.0,1091.0,2391.0,0,0.1443791,0.13809754,-0.12844552,0.1769437,-0.50615686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.08892362555382,-14.004959858244371]}"
2_105,1819.0,1024.0,268.3333333333333,441.6,451.5,1882.0,0,0.06310645,0.2903486,0.01539152,0.318837,-0.617161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.43333770548524,-13.876410941086867]}"
2_106,2458.0,1515.5,368.0,514.5,632.5,1532.0,0,0.11527313,-0.018549686,-0.2479136,0.1758665,-0.4975562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.51014366227746,-13.963727186703284]}"
2_107,2123.0,1209.5,297.5,512.5,600.5,2130.0,0,0.25093418,0.28077573,0.007851602,0.30248362,-0.5993154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.016160087540136,-13.766457150310638]}"
2_108,2234.3333333333335,1483.0,347.0,477.0,563.0,1548.857142857143,0,0.013820117,0.014584741,-0.18283124,0.21375187,-0.5287437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.42040196539392,-14.115722132776307]}"
2_109,2987.5,1835.5,394.5,622.0,846.0,2215.5,0,0.20741561,0.107154906,-0.14516975,0.20215623,-0.55215055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.637884095679254,-13.904707872536632]}"
2_110,1943.5,1022.5,284.5,520.5,528.5,2286.5,0,0.10911241,0.38759106,0.097954445,0.35828826,-0.63079095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.146325972209056,-13.851347944659931]}"
2_111,2160.0,1170.75,299.5,508.0,582.5,2188.25,0,0.2367312,0.28016803,-0.0032774045,0.28837875,-0.61715853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.555418752597085,-13.894197583712433]}"
2_112,2116.5,1123.0,280.5,527.0,535.5,2393.0,0,0.23854047,0.3635502,0.050684694,0.36334223,-0.63843316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.05739275908122,-13.710671771166815]}"
2_113,2910.5,1792.75,418.0,626.0,856.5,1794.0,0,0.09333841,-0.01062236,-0.2470917,0.15687908,-0.473907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.599076875405295,-14.10844577897494]}"
2_114,2188.0,1234.5,321.0,526.3333333333334,544.3333333333334,2125.4,0,0.08704299,0.27059302,-0.012162726,0.29686457,-0.598013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.239301604115425,-13.95159993036767]}"
2_115,2142.666666666667,1332.5,300.0,467.0,539.0,1852.375,0,0.074496,0.15027922,-0.0935217,0.2459424,-0.5888778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.59018355409251,-14.037299208472673]}"
2_116,2130.0,1294.0,361.0,569.25,670.0,2379.3333333333335,0,0.09728843,0.2849038,0.04420219,0.28208438,-0.60454047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.28619366194646,-13.969386572993237]}"
2_117,2536.5,1529.5,317.0,577.5,724.0,2476.0,0,0.10484573,0.25195038,-2.3596035E-4,0.30355057,-0.62113863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.131773264606316,-13.75594686148644]}"
2_118,3260.0,1981.0,529.0,816.0,1039.0,2483.0,0,0.1804955,0.10715928,-0.12628356,0.20928463,-0.5018018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.09458301184377,-13.663779713335776]}"
2_119,2505.0,1478.0,396.0,598.5,774.0,2079.5,0,0.14955786,0.17286879,-0.078085795,0.2198869,-0.549892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.12853932958349,-13.866709136018375]}"
2_120,2458.5,1270.0,321.5,580.5,536.5,2975.5,0,0.21936232,0.40978968,0.108162746,0.38913223,-0.67255807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.19321803004009,-14.063170688655315]}"
2_121,2543.0,1483.0,420.0,632.0,781.0,2152.0,0,0.11168085,0.17839335,-0.07604736,0.22577654,-0.55029154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.085689690530984,-13.961301735436162]}"
2_122,2649.0,1502.0,369.0,644.0,785.0,2384.0,0,0.21119559,0.21853608,-0.045379538,0.27849266,-0.5708867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.046882470257025,-13.657311843290115]}"
2_123,1671.0,816.0,211.5,440.0,384.0,2266.5,0,0.08370629,0.48595664,0.16783336,0.44984555,-0.6700368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.14228355343052,-13.761606247776392]}"
2_124,2075.0,1074.5,279.5,505.5,564.5,2438.0,0,0.17144844,0.40558723,0.09137964,0.35173354,-0.6512339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.003224347448814,-13.797179533027524]}"
2_125,2323.0,1168.0,399.0,691.0,622.0,3196.0,0,0.025238037,0.46812385,0.15818083,0.37421918,-0.64375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.113178138225045,-13.713097222433937]}"
2_126,2018.0,1257.3333333333335,322.3333333333333,490.5,553.0,1939.0,0,0.08818595,0.20456801,-0.016877636,0.26308292,-0.59238607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.76319907781393,-14.126232421600506]}"
2_127,2128.0,1544.0,286.5,386.0,455.5,1358.25,0,0.117247984,-0.08288255,-0.23835449,0.2168357,-0.54616594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.73571063011987,-14.070447042456683]}"
2_128,1668.6666666666667,777.0,194.5,439.0,315.0,2286.0,0,0.030117214,0.5063803,0.17356157,0.49173242,-0.6848304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.72196640627284,-14.021938017114229]}"
2_129,2595.75,1590.0,378.5,562.5,702.6666666666666,1907.0,0,0.10861598,0.08020075,-0.1653959,0.21080013,-0.5424149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.21747254271132,-13.960493251680454]}"
2_130,2294.0,1426.25,348.5,537.0,588.0,1979.75,0,-0.016316801,0.17089595,-0.05638353,0.26379502,-0.57758206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36219113498297,-14.113296681509185]}"
2_131,2410.0,1392.0,443.0,714.0,825.0,2392.0,0,0.090189874,0.26852977,0.011524823,0.2637418,-0.53935486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.02990431138716,-13.699352998586908]}"
2_132,2130.75,1516.5,388.5,559.2,647.0,1851.5,0,-5.4745376E-4,0.09941686,-0.0691106,0.22805123,-0.5436023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.42444438417246,-13.992024118153049]}"
2_133,2708.0,1641.0,382.0,576.0,758.0,1939.6666666666667,0,0.12986353,0.07385566,-0.16451931,0.20171371,-0.53697747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.21908951022274,-13.949982962856255]}"
2_134,2412.5,1557.5,346.3333333333333,495.5,627.25,1562.0,0,0.22592574,-0.013348843,-0.22462961,0.18978937,-0.51594996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.532781207437274,-13.991215634397342]}"
2_135,3022.0,1843.0,498.0,711.0,911.0,2404.0,0,0.17882104,0.17229395,-0.10377211,0.2231405,-0.55591786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.177048354925944,-13.884495778643942]}"
2_136,2510.5,1502.0,380.0,593.0,732.5,2163.5,0,0.12341605,0.19865541,-0.057508312,0.24275506,-0.56788045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.098625430622306,-13.97181202426036]}"
2_137,2661.6666666666665,1611.3333333333333,339.44444444444446,500.0,660.0,1594.5714285714287,0,0.17974554,-0.027881335,-0.26268077,0.18900344,-0.5231304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.4721449257592,-14.169082060653007]}"
2_138,2847.0,1676.0,467.0,738.0,939.0,2405.0,0,0.14421663,0.17418084,-0.07550861,0.242,-0.52598226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.03960611645565,-13.659737294557239]}"
